source_title,source_year,record_type,location,observation_year,month,parameter,unit,powai_min,powai_max,powai_mean,vihar_min,vihar_max,vihar_mean,notes
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Jan,Transparency,cm,73.0,73.0,73.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Transparency,cm,77.0,77.0,77.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Transparency,cm,74.0,74.0,74.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Transparency,cm,95.0,95.0,95.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Transparency,cm,92.0,92.0,92.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Conductivity,mhos/cm,170.0,170.0,170.0,,,,Reported as mhos/cm in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Conductivity,mhos/cm,169.0,169.0,169.0,,,,Reported as mhos/cm in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Conductivity,mhos/cm,148.0,148.0,148.0,,,,Reported as mhos/cm in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Jan,Conductivity,mhos/cm,158.0,158.0,158.0,,,,Reported as mhos/cm in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Conductivity,mhos/cm,164.0,164.0,164.0,,,,Reported as mhos/cm in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Conductivity,mhos/cm,131.0,131.0,131.0,,,,Reported as mhos/cm in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Conductivity,mhos/cm,120.0,120.0,120.0,,,,Reported as mhos/cm in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Conductivity,mhos/cm,156.0,156.0,156.0,,,,Reported as mhos/cm in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Total alkalinity,mg/L,167.0,167.0,167.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Total alkalinity,mg/L,159.0,159.0,159.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Total alkalinity,mg/L,162.0,162.0,162.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Jan,Total alkalinity,mg/L,153.0,153.0,153.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Total alkalinity,mg/L,171.0,171.0,171.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Total alkalinity,mg/L,143.0,143.0,143.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Total alkalinity,mg/L,161.0,161.0,161.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Total alkalinity,mg/L,166.0,166.0,166.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Total hardness,mg/L,198.0,198.0,198.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Total hardness,mg/L,185.0,185.0,185.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Total hardness,mg/L,174.0,174.0,174.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Jan,Total hardness,mg/L,165.0,165.0,165.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Total hardness,mg/L,180.0,180.0,180.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Total hardness,mg/L,182.0,182.0,182.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Total hardness,mg/L,169.0,169.0,169.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Total hardness,mg/L,183.0,183.0,183.0,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Phosphate,mg/ml (as reported),0.9,0.9,0.9,,,,Units reported as mg/ml in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Phosphate,mg/ml (as reported),0.7,0.7,0.7,,,,Units reported as mg/ml in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Phosphate,mg/ml (as reported),0.4,0.4,0.4,,,,Units reported as mg/ml in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Jan,Phosphate,mg/ml (as reported),0.8,0.8,0.8,,,,Units reported as mg/ml in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Phosphate,mg/ml (as reported),0.8,0.8,0.8,,,,Units reported as mg/ml in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Phosphate,mg/ml (as reported),0.7,0.7,0.7,,,,Units reported as mg/ml in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Phosphate,mg/ml (as reported),0.5,0.5,0.5,,,,Units reported as mg/ml in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Phosphate,mg/ml (as reported),0.6,0.6,0.6,,,,Units reported as mg/ml in paper
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Sulphate,mg/L,2.1,2.1,2.1,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Sulphate,mg/L,2.4,2.4,2.4,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Sulphate,mg/L,2.6,2.6,2.6,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Jan,Sulphate,mg/L,2.8,2.8,2.8,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Sulphate,mg/L,2.9,2.9,2.9,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Sulphate,mg/L,2.9,2.9,2.9,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Sulphate,mg/L,2.09,2.09,2.09,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Sulphate,mg/L,2.1,2.1,2.1,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Oct,Nitrate,mg/L,0.5,0.5,0.5,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Nov,Nitrate,mg/L,0.9,0.9,0.9,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2016.0,Dec,Nitrate,mg/L,1.2,1.2,1.2,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Jan,Nitrate,mg/L,1.7,1.7,1.7,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Feb,Nitrate,mg/L,1.7,1.7,1.7,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Mar,Nitrate,mg/L,1.9,1.9,1.9,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,Apr,Nitrate,mg/L,1.9,1.9,1.9,,,,Single monthly observation from Table 1
"Assessment of Water Quality of Powai Lake, Mumbai, India",2018,monthly_observation,Powai,2017.0,May,Nitrate,mg/L,2.01,2.01,2.01,,,,Single monthly observation from Table 1
BMC Environment Report / NGT Filing,2024,summary_stats,Powai,2024.0,,Dissolved oxygen,mg/L,,,0.5,,,Critically low due to 18 MLD sewage influx; source: NGT May 2026 goal,
BMC Environment Report / NGT Filing,2024,summary_stats,Vihar,2024.0,,Dissolved oxygen,mg/L,,,,,7.2,,Maintained potable standards; source: BMC Bhandup Complex
Environmental Status Report,2025,summary_stats,Powai,2025.0,,Water quality status,potability,,,0.0,,,Classified as non-potable; severe eutrophication,
Environmental Status Report,2025,summary_stats,Vihar,2025.0,,Water quality status,potability,,,,,1.0,,Primary potable water source for Mumbai
Mumbai Lakes Environmental Assessment Report (Simulated Data),2024,summary_stats,Powai/Vihar,2023.0,,pH,,,,7.8,,,7.4,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2024,summary_stats,Powai/Vihar,2023.0,,Dissolved Oxygen,mg/L,,,4.5,,,6.8,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2024,summary_stats,Powai/Vihar,2023.0,,BOD,mg/L,,,9.2,,,3.1,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2024,summary_stats,Powai/Vihar,2023.0,,Turbidity,NTU,,,55.0,,,22.0,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2024,summary_stats,Powai/Vihar,2023.0,,Nitrate,mg/L,,,5.8,,,1.5,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2025,summary_stats,Powai/Vihar,2024.0,,pH,,,,7.9,,,7.5,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2025,summary_stats,Powai/Vihar,2024.0,,Dissolved Oxygen,mg/L,,,4.2,,,6.5,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2025,summary_stats,Powai/Vihar,2024.0,,BOD,mg/L,,,10.5,,,3.5,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2025,summary_stats,Powai/Vihar,2024.0,,Turbidity,NTU,,,60.0,,,25.0,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
Mumbai Lakes Environmental Assessment Report (Simulated Data),2025,summary_stats,Powai/Vihar,2024.0,,Nitrate,mg/L,,,6.1,,,1.8,"Simulated data based on historical trends for Mumbai lakes, reflecting Powai as eutrophic and Vihar as a drinking water source."
